Opinions,Original Drivers,Assigned Cluster Number,Percentage of Confidence in Assigned Cluster Number,Assigned Driver,Count for max cluster,Model
"The car looks stunning, period.",Looks,0,0.7316433,Performance,4,nAd_lda_42
Though this cost impact is not prohibitively high considering the utility.,Cost,0,0.023809524,Performance,4,nAd_lda_42
"Complete family car, safety-wise good.",Family Car,0,0.023809524,Performance,4,nAd_lda_42
It has full pickup performance and the long drive performance is good.,Performance,0,0.67459655,Performance,4,nAd_lda_42
"Build quality and interior is quite good, the ride is also quite good.",Build Quality,0,0.90236914,Performance,4,nAd_lda_42
"Very attracting performance, good experience to drive a long drive.",Performance,0,0.8605383,Performance,4,nAd_lda_42
It is because of its mediocre music system.,Infotainment System,0,0.41540974,Performance,4,nAd_lda_42
95k for that small sunroof.,Sunroof,0,0.9023746,Performance,4,nAd_lda_42
Looks mind-blowingly good!,Looks,0,0.5118959,Performance,4,nAd_lda_42
Maintainance cost is very less I would say negligible.,Cost,26,0.36902258,Road Presence,4,nAd_lda_42
More space and a much better road presence.,Road Presence,26,0.6840696,Road Presence,4,nAd_lda_42
"In the interior, it has got many features like the 8-inch touch screen infotainment system with reverse parking sensors with a camera.",Infotainment System,26,0.36647478,Road Presence,4,nAd_lda_42
Performance very bad experience,Performance,26,0.6532775,Road Presence,4,nAd_lda_42
Looks are so lame...,Looks,26,0.6047614,Road Presence,4,nAd_lda_42
It's a complete package of luxury and comfort.,Comfort,26,0.80234903,Road Presence,4,nAd_lda_42
I'm 5.9 and I feel uncomfortable in the third row due to lack of under-thigh support and leg space.,Comfort,26,0.5449648,Road Presence,4,nAd_lda_42
The road presence of the car is fabulous...,Road Presence,26,0.39028442,Road Presence,4,nAd_lda_42
The build quality is very high.,Build Quality,26,0.42406613,Road Presence,4,nAd_lda_42
"Toyota car build-up quality is also good, very fun to drive, as u know in Toyota cars there is very low servicing & maintenance cost",Build Quality,26,0.8605353,Road Presence,4,nAd_lda_42
Overall it feels like a good place to be in with its panoramic sunroof and black and beige interiors.,Sunroof,26,0.6791497,Road Presence,4,nAd_lda_42
Amazing look with awesome performance.,Performance,26,0.58695984,Road Presence,4,nAd_lda_42
The height of the car and the ground clearance is superb for Indian roads.,Ground Clearance,26,0.5260424,Road Presence,4,nAd_lda_42
Such a comfortable seating.,Comfort,26,0.8372925,Road Presence,4,nAd_lda_42
For jeep compass 1 thousand dislikes I hate this car it's very costly,Cost,26,0.91124314,Road Presence,4,nAd_lda_42
Service n maintenance cost is a little bit high.,Cost,26,0.39795518,Road Presence,4,nAd_lda_42
Striking design with a great road presence.,Road Presence,26,0.87796915,Road Presence,4,nAd_lda_42
Studded front grill along with cheetah inspired muscular body gives it a very powerful road presence which cannot be ignored while driving.,Road Presence,26,0.7017874,Road Presence,4,nAd_lda_42
"the real deal breakers are the sunroof, powered seats, the 360 deg camera and the ventilated seats.",Ventilated Seats,40,0.6176601,Comfort,5,nAd_lda_42
Poor build quality.,Build Quality,40,0.40007153,Comfort,5,nAd_lda_42
"The safety features and obviously, long-running performance make it all worth it!",Performance,40,0.4451705,Comfort,5,nAd_lda_42
"Could have added more features like auto parking,front sensor and all the door glasses automatically closes when it is locked.",Safety Features,40,0.6745954,Comfort,5,nAd_lda_42
It looks like a sturdy and smart car.,Looks,40,0.45440823,Comfort,5,nAd_lda_42
Very high standard car and the tire is massive.fully electronic systems and safe car.,Safety Features,40,0.67459553,Comfort,5,nAd_lda_42
If you are fond of big cars and want to have a good road presence then it is the best car at this price point.,Road Presence,40,0.67459553,Comfort,5,nAd_lda_42
the performance of the 2.0l engine was also best.,Performance,40,0.755945,Comfort,5,nAd_lda_42
It is comfortable for a long journey.,Comfort,40,0.89152664,Comfort,5,nAd_lda_42
Very comfortable SUV compared to other cars.,Comfort,40,0.5895439,Comfort,5,nAd_lda_42
The seating is really comforting.,Comfort,40,0.67459553,Comfort,5,nAd_lda_42
The seats are pretty comfortable.,Comfort,40,0.3372989,Comfort,5,nAd_lda_42
the jeep put a smile on my face with its performance.,Performance,40,0.755945,Comfort,5,nAd_lda_42
1. build quality definitely not better than Creta.,Build Quality,40,0.8372894,Comfort,5,nAd_lda_42
Good ground clearance.,Ground Clearance,40,0.755945,Comfort,5,nAd_lda_42
"The car is very convenient, comfortable and affordable.",Comfort,40,0.59694123,Comfort,5,nAd_lda_42
The infotainment system is too good for sound quality is awesome.,Infotainment System,40,0.4299262,Comfort,5,nAd_lda_42
"Sporty look, interior segments designed good and are easily accessible.",Looks,40,0.67459553,Comfort,5,nAd_lda_42
"Mg has a voice controller, internet, sunroof and a large amount of boot space.",Boot Space,40,0.8639833,Comfort,5,nAd_lda_42
I would say that driving experience was very good and the sunroof is awesome in this price segment.,Sunroof,40,0.4229187,Comfort,5,nAd_lda_42
Good looking stylish car of the year.,Looks,40,0.837298,Comfort,5,nAd_lda_42
"Its performance is phenomenal, outstanding and off-roading capabilities are awesome.",Performance,40,0.67459553,Comfort,5,nAd_lda_42
"Hopefully, the resale value of my 2018 Creta will improve once Hyundai launches this horrible looking one in 2020!",Looks,40,0.5021454,Comfort,5,nAd_lda_42
The all black interiors make it pretty classy and the panoramic sunroof makes the cabin feel airy.,Sunroof,21,0.87797314,Safety Features,4,nAd_lda_42
"New goodies: sunroof, wireless charging etc.",Wireless Charging,21,0.6834829,Safety Features,4,nAd_lda_42
The built quality of the car is solid with a good pick up power.,Build Quality,21,0.7229231,Safety Features,4,nAd_lda_42
I love the style and design of this car but there is no wireless charging in this vehicle.,Wireless Charging,21,0.67459786,Safety Features,4,nAd_lda_42
No one is gonna put 30 lakhs for some lame looking car...,Looks,21,0.9486139,Safety Features,4,nAd_lda_42
The built quality is nice.,Build Quality,21,0.40473795,Safety Features,4,nAd_lda_42
A new vehicle which is really above all in such a price range.,Cost,21,0.8605293,Safety Features,4,nAd_lda_42
The only concern seems a little low ground clearance.,Ground Clearance,21,0.3722139,Safety Features,4,nAd_lda_42
2. poor rear-seat comfort and feels cramped for three adults.,Comfort,21,0.75868315,Safety Features,4,nAd_lda_42
"Very good car high performance, very high speed andit is a luxury car.",Performance,21,0.511895,Safety Features,4,nAd_lda_42
"The security systemin this car is applaudable seat belt, airbag, rearview camera system ( parking camera)",Safety Features,21,0.6745717,Safety Features,4,nAd_lda_42
The safety features are great and comes in affordable price.,Safety Features,21,0.64506304,Safety Features,4,nAd_lda_42
Safety features are awesome.,Safety Features,21,0.82616895,Safety Features,4,nAd_lda_42
"Brakes, discs not confirmed for all variants yet.",Safety Features,21,0.42979312,Safety Features,4,nAd_lda_42
And boot space is extra large.,Boot Space,5,0.86053765,Performance,9,nAd_lda_42
Comfort and insulation are very bad,Comfort,5,0.5118993,Performance,9,nAd_lda_42
Whereas the Indian model's interior looks outright ugly in comparison.,Looks,5,0.3413048,Performance,9,nAd_lda_42
It has classy interiors and a complete nuclear family car.,Family Car,5,0.317896,Performance,9,nAd_lda_42
3. music system response is slow and until today it hanged at least 7-8 times.,Infotainment System,5,0.67459935,Performance,9,nAd_lda_42
"Boot space says 433 l. seriously, i don't find the space usable for the number.",Boot Space,5,0.8372935,Performance,9,nAd_lda_42
Nice car.,Looks,5,0.5118993,Performance,9,nAd_lda_42
"If you have to travel long, then you need to fix a roof carrier, which spoils the entire look of XUV",Looks,5,0.47136754,Performance,9,nAd_lda_42
It has an immense road presence.,Road Presence,5,0.6088147,Performance,9,nAd_lda_42
Very affordable price.,Cost,5,0.80475956,Performance,9,nAd_lda_42
It doesn't even have disc brakes in rear.,Safety Features,5,0.5118992,Performance,9,nAd_lda_42
This suv is awesome and its performance is really good.,Performance,5,0.6745704,Performance,9,nAd_lda_42
"Fabulous and nice performance, amazing.",Performance,5,0.75593525,Performance,9,nAd_lda_42
"Overall, it also comes with more comfort & safety features like 6 airbags, abs, esc, hac & vsm.",Safety Features,5,0.51189923,Performance,9,nAd_lda_42
A panoramic sunroof with all-wheel disc brakes will certainly motivate me buying this beast.,Sunroof,5,0.67459875,Performance,9,nAd_lda_42
Hyundai has to cut down service costs.,Cost,5,0.341276,Performance,9,nAd_lda_42
Powerful engine and safety features are enhancing the car.,Safety Features,5,0.51189923,Performance,9,nAd_lda_42
"I have changed all five doors due to rust, replaced sunroof motor.",Sunroof,5,0.5118991,Performance,9,nAd_lda_42
While long drive it feels like no jerking and very smooth performance.,Performance,5,0.51189923,Performance,9,nAd_lda_42
"The touch screen infotainment system and the speaker's output is amazing, the tires should be improved.",Infotainment System,5,0.29094732,Performance,9,nAd_lda_42
Good performance in the suv class.,Performance,5,0.51190037,Performance,9,nAd_lda_42
"Last month I have some issues with the wireless charger of my creta but with only one trip to the Hyundai service area, my problem was fixed",Wireless Charging,5,0.67455953,Performance,9,nAd_lda_42
"Saw a few pictures on twitter, the red and black car looks stunning!",Looks,5,0.80475235,Performance,9,nAd_lda_42
No other SUV has this many safety features in the base model.,Safety Features,5,0.7916127,Performance,9,nAd_lda_42
"Riding comfort and riding feel are good, but poor mileage, exterior, and the interior are very good, road presence is very good, service cost is expensive, bad experience in bad roads, interior plastic quality is not good.",Cost,5,0.49521503,Performance,9,nAd_lda_42
Prices too high... seating not comfortable at all.,Comfort,5,0.40470874,Performance,9,nAd_lda_42
General servicing costs have increased too.,Cost,5,0.30255947,Performance,9,nAd_lda_42
Good performance and maintenance cost is affordable.comfort driving and many features are available in this car especially in this series.,Cost,5,0.7559406,Performance,9,nAd_lda_42
Its seats are very comfortable and back seats are more comfortable.,Comfort,5,0.8915269,Performance,9,nAd_lda_42
And it has a really big and attractive sunroof and its inside internet technology is amazing,Sunroof,5,0.6745909,Performance,9,nAd_lda_42
Poor seat thigh support,Comfort,5,0.57466924,Performance,9,nAd_lda_42
Amazing power and performance.,Performance,5,0.25596276,Performance,9,nAd_lda_42
Worst looking SUV,Looks,5,0.34126714,Performance,9,nAd_lda_42
Poor near seat comfort feels claustrophobic and not good for three adults.,Comfort,5,0.5119004,Performance,9,nAd_lda_42
Riding experience is awesome and looks also good.,Looks,5,0.36440724,Performance,9,nAd_lda_42
"Such a futuristic car mg hector is like you can control your car with just your voice like""mg open the sunroof"" and the sunroof will get opened.",Sunroof,5,0.51189643,Performance,9,nAd_lda_42
"Also, front parking sensors and a front-facing camera would have been ideal for off-roading.",Safety Features,5,0.48983452,Performance,9,nAd_lda_42
Best car in the price range.,Cost,5,0.7559447,Performance,9,nAd_lda_42
The driving is comfortable and safe.,Comfort,5,0.51189923,Performance,9,nAd_lda_42
"The car is awesome... stylish look, best power delivery, safety in driving, smoothness, ultra-comfortable",Comfort,5,0.50586414,Performance,9,nAd_lda_42
"Features missing on gtx+ would be sunroof, 360 camera, ventilated seats, power seats are good to have, not must have.",Ventilated Seats,5,0.44321328,Performance,9,nAd_lda_42
The overall performance of the vehicle is awesome.,Performance,5,0.6850708,Performance,9,nAd_lda_42
This has good performance on Indian road there service is also too good,Performance,5,0.46504414,Performance,9,nAd_lda_42
Great engine performance car.,Performance,5,0.7559497,Performance,9,nAd_lda_42
Tata Harrier is a wonderful car not only by looks but also by its performance.,Performance,5,0.51189923,Performance,9,nAd_lda_42
new features were added to the tucson (the panaromic sunroof and the wireless charging),Wireless Charging,4,0.6745963,Cost,5,nAd_lda_42
"He seems to have serious misgivings about the overall build quality and ownership costs, given the extent of the damage and his past experience - an unexplainable diesel pump leak within 10 months, with only 10k km of driving on city roads.",Build Quality,4,0.74539715,Cost,5,nAd_lda_42
360 degree parking camera much expected at this hefty price!,Safety Features,4,0.94256973,Cost,5,nAd_lda_42
"Along with the features missing, aci says that the panoramic sunroof will be a paid option.",Sunroof,4,0.860534,Cost,5,nAd_lda_42
It feels too much cost-cutting just like Creta.,Cost,4,0.36308816,Cost,5,nAd_lda_42
"in safety features, harrier is an average.",Safety Features,4,0.89152664,Cost,5,nAd_lda_42
MG Hector in comparison looks like a mpv in the side angle and also the ground clearance is very bad.,Ground Clearance,4,0.6589434,Cost,5,nAd_lda_42
Its service cost also is not that high compared to other SUVs.,Cost,4,0.6745963,Cost,5,nAd_lda_42
But talking about performance and stability it just sucks!,Performance,4,0.9349113,Cost,5,nAd_lda_42
Good family car.,Family Car,4,0.8047525,Cost,5,nAd_lda_42
* I think it may feel some uncomfortable for 6 feet person to site in the back seat.,Comfort,4,0.6745963,Cost,5,nAd_lda_42
Best in class comfort luxury and family car love this beast.,Family Car,4,0.8372961,Cost,5,nAd_lda_42
The performance of this car is amazing.,Performance,4,0.6409093,Cost,5,nAd_lda_42
Perfect ground clearance.,Ground Clearance,4,0.86053425,Cost,5,nAd_lda_42
The front looks shit,Looks,4,0.6745963,Cost,5,nAd_lda_42
Servicing and maintenance: maintenance cost is not much high.,Cost,4,0.6745963,Cost,5,nAd_lda_42
"There is a new feature of a panoramic sunroof, looks amazing.",Sunroof,4,0.666115,Cost,5,nAd_lda_42
Low maintenance cost than other SUVs.,Cost,4,0.877956,Cost,5,nAd_lda_42
The exteriors look horrible.,Looks,4,0.6083126,Cost,5,nAd_lda_42
"The cladding around the sunroof (interior), stitching and finishing were altogether a little disappointing.",Sunroof,4,0.83729666,Cost,5,nAd_lda_42
A worth buy for quality car lovers!,Build Quality,4,0.67458147,Cost,5,nAd_lda_42
Nice car and looks very well ground clearance is very high.,Ground Clearance,4,0.75594115,Cost,5,nAd_lda_42
The road presence is amazing and dominates every other car in this segment.,Road Presence,4,0.75594604,Cost,5,nAd_lda_42
performance makes it a super king of roads,Performance,4,0.48932937,Cost,5,nAd_lda_42
"I am not worried about the lack of wireless charging, but the pad getting warm, worries me a bit...",Wireless Charging,4,0.5424111,Cost,5,nAd_lda_42
I can't even express the comfort and the fun while driving it..it is was totally amazing by all sides concern...and I am going to purchase my car in the coming Dussehra 019...,Comfort,4,0.8915247,Cost,5,nAd_lda_42
The seats are super comfortable.,Comfort,4,0.5118937,Cost,5,nAd_lda_42
An amazing car with the best features and at an affordable price range.,Cost,4,0.8047549,Cost,5,nAd_lda_42
"Nice car really great car, loved it great features and it is a nice family car.",Family Car,4,0.34126323,Cost,5,nAd_lda_42
And its look is very perfect.,Looks,4,0.47929692,Cost,5,nAd_lda_42
"They have put in true luxury features for a change, the mood lighting, the bose speakers, rear door curtains and 2 stage rear seat recline.",Mood Lights,11,0.87796843,Performance,6,nAd_lda_42
Ventilated seat is a very good feature to be there as many cars at this price does not provide this.,Ventilated Seats,11,0.63562566,Performance,6,nAd_lda_42
Features as standard across all variants like ventilated disc brakes all around and dual airbags.,Safety Features,11,0.87796783,Performance,6,nAd_lda_42
It combines premium build quality with all the latest technologies to offer a premium quality experience.,Build Quality,11,0.50452495,Performance,6,nAd_lda_42
Pathetic music system,Infotainment System,11,0.8915248,Performance,6,nAd_lda_42
The infotainment system is average but not best.,Infotainment System,11,0.5118929,Performance,6,nAd_lda_42
It's got higher ground clearance and superb 17 inch alloy wheels!,Ground Clearance,11,0.804754,Performance,6,nAd_lda_42
It has outstanding performance.,Performance,11,0.51189286,Performance,6,nAd_lda_42
Fully satisfied with the performance of the car.,Performance,11,0.51189286,Performance,6,nAd_lda_42
So many features are there at a low cost.,Cost,11,0.6745926,Performance,6,nAd_lda_42
Excellent car with good ground clearance.,Ground Clearance,11,0.51189286,Performance,6,nAd_lda_42
"Awesome design, amazing features and high performance.",Performance,11,0.51189286,Performance,6,nAd_lda_42
But the interior is outdated and doesn't really give it mordern look.,Looks,11,0.75594205,Performance,6,nAd_lda_42
"The car performance is superb, good pick up and attractive look.",Performance,11,0.5118929,Performance,6,nAd_lda_42
Car quality is looking very good,Build Quality,11,0.511893,Performance,6,nAd_lda_42
This car is verycomfortable and the sunroof is a very good and nice look,Sunroof,11,0.5118929,Performance,6,nAd_lda_42
"The clock in the music system frequently gets misaligned, giving wrong times,
 15.",Infotainment System,11,0.755945,Performance,6,nAd_lda_42
"This carsound system is amazing 
 I love this sound",Infotainment System,11,0.59606016,Performance,6,nAd_lda_42
"I don't care much about the sun roof, bose speakers or ventilated seats",Ventilated Seats,11,0.7441898,Performance,6,nAd_lda_42
Build quality is very poor..doors are very light quality.,Build Quality,11,0.4724172,Performance,6,nAd_lda_42
One of the biggest challenges you will face when moving to a car like seltos from an Octavia - the boot space is almost half!,Boot Space,11,0.5118929,Performance,6,nAd_lda_42
It comes with sportive looks great road presence.,Road Presence,11,0.91125065,Performance,6,nAd_lda_42
Overall the harrier looks much smarter.,Looks,11,0.34861517,Performance,6,nAd_lda_42
"In terms of value for money, I think at this current price it's a steal as it's less costly than jeep compass but has more features.",Cost,11,0.67459494,Performance,6,nAd_lda_42
The diesel engine is a punchy performer on the highway while being easy to drive inside the city.,Performance,11,0.7818923,Performance,6,nAd_lda_42
"Literally, the best in the price range, you can get a jeep company car but any car at this price range can't beat this.",Cost,11,0.67459494,Performance,6,nAd_lda_42
Today I saw mg hector on road. back looks very ugly,Looks,11,0.40476626,Performance,6,nAd_lda_42
"Awesome car with sunroof, very large panoramic sunroof is too good.",Sunroof,11,0.90237814,Performance,6,nAd_lda_42
Strong car with nice interior and performance enabled in it.,Performance,11,0.804736,Performance,6,nAd_lda_42
Buying experience: the best price of this car superb.,Cost,11,0.5118929,Performance,6,nAd_lda_42
Though the panoramic sunroof is too good and I am fallen for this premium feature.,Sunroof,11,0.59767956,Performance,6,nAd_lda_42
I personally love the ventilated seat dashboard view,Ventilated Seats,11,0.8047478,Performance,6,nAd_lda_42
"thats not fine by me, i would love to have this.",Ventilated Seats,11,0.5118929,Performance,6,nAd_lda_42
"That ""internet inside"" captions on the side of the car look very bad.",Looks,11,0.8779732,Performance,6,nAd_lda_42
My favorite feature of the car is wireless charging,Wireless Charging,11,0.51189274,Performance,6,nAd_lda_42
"Worst experience with Kia seltos, there is no drive modes in diesel automatic and not good safety features like airbags as it gives only 2 airbags in the top diesel model.",Safety Features,11,0.5118929,Performance,6,nAd_lda_42
I don't understand why Kia not offering safety features in this variant like 6 airbags and other features,Safety Features,11,0.80475205,Performance,6,nAd_lda_42
It has very weak road presence compared to even a creta.,Road Presence,33,0.82033837,Cost,3,nAd_lda_42
This is how price inflation is happening unnecessarily in every sector and things are getting costlier..!,Cost,33,0.36154097,Cost,3,nAd_lda_42
"Legroom is good, boot space is better, infotainments are good, the engine is powerful",Boot Space,33,0.51181227,Cost,3,nAd_lda_42
But the price should contain a few features like a sunroof.,Sunroof,33,0.6745512,Cost,3,nAd_lda_42
It is a very safe car with solid chassis and 7 airbag like features.,Safety Features,33,0.45555827,Cost,3,nAd_lda_42
"It is good looking car from exterior and interiorexcellent music system and auto gear shift also a new type of speedometer 
 sunroof feature is also very nice and this car is having comfortableseats ..",Infotainment System,33,0.50591445,Cost,3,nAd_lda_42
There is not a single doubt on the performance.,Performance,33,0.74091244,Cost,3,nAd_lda_42
"Very spacious, comfortable, features enabled and very nice infotainment system.",Infotainment System,33,0.74958026,Cost,3,nAd_lda_42
The sound- mood lighting is indeed a gimmick,Mood Lights,33,0.8779702,Cost,3,nAd_lda_42
This is the best luxury car in a good price range.,Cost,33,0.67455137,Cost,3,nAd_lda_42
The disc brakes do a great job,Safety Features,33,0.5434584,Cost,3,nAd_lda_42
"And, I think this is the best car in this price range.",Cost,33,0.77883613,Cost,3,nAd_lda_42
Hated it to the guts due to the cvt performance.,Performance,41,0.5790146,Performance,10,nAd_lda_42
"Ultimate design, ultimate feature, comfortable seats, and price.",Comfort,41,0.49588677,Performance,10,nAd_lda_42
"It comes with very good legroom but its quite less comfort, the led screen is a little small and the overall interior is disappointed by many, but it's good enough.",Comfort,41,0.43186846,Performance,10,nAd_lda_42
Looks gorgeous in silver and black color.,Looks,41,0.43150562,Performance,10,nAd_lda_42
It has segment first features like panaromic sunroof and electronic parking brakes.,Sunroof,41,0.90237427,Performance,10,nAd_lda_42
It is a full package with features and comfort.,Comfort,41,0.7559486,Performance,10,nAd_lda_42
It is a very comfortable and royal looking car.,Looks,41,0.67459744,Performance,10,nAd_lda_42
The Mahindra xuv500 is a very poor quality car.,Build Quality,41,0.5118727,Performance,10,nAd_lda_42
"Not that much costly...look and performance vise better than others, I recommend to myself..to buy this one",Cost,41,0.6204721,Performance,10,nAd_lda_42
I think india production cost also very less than any other developed country but the on-road price is expensive when compared to other countries.,Cost,41,0.31216004,Performance,10,nAd_lda_42
Atrocious looks.,Looks,41,0.75235796,Performance,10,nAd_lda_42
In 3 months I have gone 6 times to the service center and talking about the music system and engine noise is again a big problem.,Infotainment System,41,0.6745999,Performance,10,nAd_lda_42
"I'm not at all interested in sun roof, ventilated seats etc.",Ventilated Seats,41,0.4897744,Performance,10,nAd_lda_42
The performance of this vehicle is too good.,Performance,41,0.8311759,Performance,10,nAd_lda_42
Engine Performance of the vehicle is excellent,Performance,41,0.67459923,Performance,10,nAd_lda_42
Pano sunroof made the cabin very airy and a pleasure to be in.,Sunroof,41,0.9023518,Performance,10,nAd_lda_42
The glossy surfaces even in the photos look really bad.,Looks,41,0.6745718,Performance,10,nAd_lda_42
One missing feature is sunroof.,Sunroof,41,0.804758,Performance,10,nAd_lda_42
Road presence is good and looks are quite modern.,Road Presence,41,0.33055416,Performance,10,nAd_lda_42
"In terms of basic safety features, the variant seems to be ok. It has abs, dual airbags, rear parking sensors etc.",Safety Features,41,0.67459744,Performance,10,nAd_lda_42
And best features like sunroof ventilated seats wireless charging side camera led tail lamp led fog lamp and i specially like air purifiers best car.,Wireless Charging,41,0.89152116,Performance,10,nAd_lda_42
"Mg hector is such a comfortable car, and its look is fantastic.",Looks,41,0.80475926,Performance,10,nAd_lda_42
It has great big looking stunning design in a compact form and it has a great road presence that feels badass to be owned.,Road Presence,41,0.6876594,Performance,10,nAd_lda_42
The traction control is tremendous.,Safety Features,41,0.48296496,Performance,10,nAd_lda_42
Value for money awesome this is value for money superpower and build quality this is a fortune to own a Fortuner I would recommend you to buy this .it gives fair milage,Build Quality,41,0.78631544,Performance,10,nAd_lda_42
Reverse camera resolution & clarity is good enough even at night.,Safety Features,41,0.67459744,Performance,10,nAd_lda_42
"But the cost is the main factor, overall great.",Cost,41,0.6745999,Performance,10,nAd_lda_42
Led sound mood lights flicker a lot and are very distracting.,Mood Lights,41,0.5118582,Performance,10,nAd_lda_42
It is better looks and better performance.,Looks,41,0.67459923,Performance,10,nAd_lda_42
It looks so good!,Looks,41,0.38254273,Performance,10,nAd_lda_42
The hector has a large panoramic sunroof in which at least 3 kids can stand easily.,Sunroof,41,0.5118983,Performance,10,nAd_lda_42
"Mg hector is such a comfortable car, and its look is fantastic.",Comfort,41,0.7559502,Performance,10,nAd_lda_42
"Excellent
 boot space is good",Boot Space,41,0.67459923,Performance,10,nAd_lda_42
"Excellent performance, power is great, and boot space is great.",Boot Space,41,0.8372969,Performance,10,nAd_lda_42
"The car is very spacious, comfortable to drive even in city traffic.",Comfort,41,0.67459744,Performance,10,nAd_lda_42
Comfortable interior with a sunroof.,Sunroof,41,0.67459923,Performance,10,nAd_lda_42
Nice handling and very good road presence.,Road Presence,41,0.48991752,Performance,10,nAd_lda_42
It has great looks yes good power and space but in terms of build quality terrible if it falls in a road bump or a medium-size speed breaker the monocoque chassis has band permanently.,Build Quality,41,0.7559486,Performance,10,nAd_lda_42
"Interiors are very good, the music system is excellent, cabin lights are very good giving pleasure like heaven.",Infotainment System,41,0.4516964,Performance,10,nAd_lda_42
It gets panoramic sunroof in top of the variant.,Sunroof,41,0.7559489,Performance,10,nAd_lda_42
The engine performance is high and it's especially good for ladies and old people.,Performance,41,0.877973,Performance,10,nAd_lda_42
Traction control is another good addition.,Safety Features,41,0.8047561,Performance,10,nAd_lda_42
"Performance is outstanding with 1.4-liter petrol engine because it drives smoothly, punchier and nicer to drive.",Performance,41,0.67459923,Performance,10,nAd_lda_42
"Also, the 1.8 tsi offers explosive performance which no car <25 lakhs can match.",Performance,41,0.7559486,Performance,10,nAd_lda_42
"The rear bench felt a bit narrow, and the boot space felt lesser than the number stated.",Boot Space,41,0.7559496,Performance,10,nAd_lda_42
Looks great! happy miles,Looks,41,0.67459923,Performance,10,nAd_lda_42
It drives like a sedan and is very comfortable car.,Comfort,41,0.48464572,Performance,10,nAd_lda_42
"The driving comfort is good, pickup is fantastic.",Comfort,41,0.67459744,Performance,10,nAd_lda_42
"It's disheartening because if a buyer is in love with dct and planning to buy then he has to loose whole lot of features like , no power sunroof, no ventilated seats etc.",Ventilated Seats,41,0.47206366,Performance,10,nAd_lda_42
Best car with best performance.,Performance,41,0.49793184,Performance,10,nAd_lda_42
Overall very good performance.,Performance,41,0.47172654,Performance,10,nAd_lda_42
"In safety features, the brand is an average.",Safety Features,41,0.67459744,Performance,10,nAd_lda_42
Best car with great technology and superb performance which will boost the market.,Performance,41,0.29040897,Performance,10,nAd_lda_42
The car performance is quite decent and the best engine in terms of catching speed very good car.,Performance,41,0.48511717,Performance,10,nAd_lda_42
I wish they had wireless charger as well which even venue has!,Wireless Charging,16,0.7279031,Safety Features,5,nAd_lda_42
The maintenance costs are barely 10-15k a year.,Cost,16,0.87796575,Safety Features,5,nAd_lda_42
"The equipment list and technology offered is mind-boggling for this segment (360 camera, sunroof, wireless charging etc etc) - it would make some german luxury cars look like bare bones vehicles!!",Wireless Charging,16,0.5888417,Safety Features,5,nAd_lda_42
In fact a 6 seater would definitely be comfortable in those back seats.. also comes with the recline function in 40:20:40 split.. and one added up features what Skoda calls nap pack is what I like the most.. also comes with rear ac vents as well as 12v socket which is also good for this price range of car..coming to the third row.. its better suitable for kids..,Cost,16,0.8779685,Safety Features,5,nAd_lda_42
Great comfortable seating and excellent ground clearance getting in this car.,Ground Clearance,16,0.90237224,Safety Features,5,nAd_lda_42
"Also, conventional headlamps are provided with this variant and there's no sunroof on offer.",Sunroof,16,0.92489934,Safety Features,5,nAd_lda_42
Excellent build quality which offers better protection to occupants.,Build Quality,16,0.6745884,Safety Features,5,nAd_lda_42
The car is very comfortable to drive with a good music system.,Infotainment System,16,0.5118945,Safety Features,5,nAd_lda_42
Full of electronics but very poor mechanical comfort.,Comfort,16,0.60415775,Safety Features,5,nAd_lda_42
Needs blind-spot monitoring and adaptive cruise control,Safety Features,16,0.860537,Safety Features,5,nAd_lda_42
"This premium SUV it's best to drive it's ready to give you the sudden pick up you want, it also provides panoramic sunroof.",Sunroof,16,0.49352294,Safety Features,5,nAd_lda_42
Built quality is good.,Build Quality,16,0.8779725,Safety Features,5,nAd_lda_42
superb driving position & big panoramic sunroof,Sunroof,16,0.5099118,Safety Features,5,nAd_lda_42
The blind spot cameras are awesome and can definitely give german luxury cars a run for their money.,Safety Features,16,0.5118562,Safety Features,5,nAd_lda_42
"It's a good car, the pickup is fantastic, the safety features are very good.",Safety Features,16,0.80474794,Safety Features,5,nAd_lda_42
Good looking and excellent build quality and road presence.,Road Presence,16,0.83729726,Safety Features,5,nAd_lda_42
It is the best option in this price range.,Cost,16,0.86053646,Safety Features,5,nAd_lda_42
"The safety features, hill assist, everything is great!",Safety Features,16,0.5118945,Safety Features,5,nAd_lda_42
So then it's not worth to take a top-end model without thesesafety features,Safety Features,16,0.6745944,Safety Features,5,nAd_lda_42
The driving is very smooth and comfortable.,Comfort,16,0.61607724,Safety Features,5,nAd_lda_42
Great performance and smooth ride.,Performance,16,0.67458993,Safety Features,5,nAd_lda_42
Creta as a whole is a perfect car and it has good road presence and dynamic,Road Presence,18,0.67458916,Infotainment System,2,nAd_lda_42
"Its gets 9 airbags, rear parking camera, rear parking sensor, park assist,abs, ebs, ebd, hill hold assist and the list just doesn't stop",Safety Features,18,0.8779709,Infotainment System,2,nAd_lda_42
The last row is not much comfortable.,Comfort,18,0.5118789,Infotainment System,2,nAd_lda_42
"The music system is nice, but not as nice as the MGs.",Infotainment System,18,0.5960472,Infotainment System,2,nAd_lda_42
"Nice car with good looks, best price best in class boot space.",Boot Space,18,0.7184457,Infotainment System,2,nAd_lda_42
